,Theme
0,"food, cuisine"
1,"time, difficulty, style"
2,"occasion, personage"
3,"health, diet"
4,food group
5,"difficulty, health"
6,food
7,community
8,"diet, difficulty, health"
9,cuisine
11,"cost, health"
12,"health, diet, difficulty"
13,"food group, health, cost"
14,demographic
16,"cuisine, community, demographic"
17,"community, difficulty"
18,demographic
19,health
20,"personage, cuisine"
21,"health, style"
22,"occasion, style"
23,food
24,"food group, ingredient, occasion"
25,health
26,"cuisine, health"
27,"cuisine, health"
28,food group
29,"difficulty, occasion, time"
30,"health, difficulty"
31,"cuisine, health"
32,food
33,"community, personage"
34,"occasion, health, difficulty"
35,"food, difficulty"
36,"food, history"
37,community
38,"food group, difficulty, diet"
39,"food, difficulty"
40,"food, difficulty"
41,food
42,"method, difficulty"
44,food
45,"cuisine, style"
46,community
47,"difficulty, method, time"
48,"health, community"
49,health
50,"health, occasion, difficulty"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
